Age,Workclass,FinalWeight,Education,EducationNum,MaritalStatus,Occupation,Relationship,Race,Sex,Hours-Per-Week,Native Country,Income,age_hours_interaction
39, State-gov,77516, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,40, United-States, <=50K,1560
50, Self-emp-not-inc,83311, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,13, United-States, <=50K,650
38, Private,215646, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,40, United-States, <=50K,1520
53, Private,234721, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,40, United-States, <=50K,2120
28, Private,338409, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Black, Female,40, Cuba, <=50K,1120
37, Private,284582, Masters,14, Married-civ-spouse, Exec-managerial, Wife, White, Female,40, United-States, <=50K,1480
49, Private,160187, 9th,5, Married-spouse-absent, Other-service, Not-in-family, Black, Female,16, Jamaica, <=50K,784
52, Self-emp-not-inc,209642, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,45, United-States, >50K,2340
31, Private,45781, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,50, United-States, >50K,1550
42, Private,159449, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, >50K,1680
37, Private,280464, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,80, United-States, >50K,2960
30, State-gov,141297, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,40, India, >50K,1200
23, Private,122272, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,30, United-States, <=50K,690
32, Private,205019, Assoc-acdm,12, Never-married, Sales, Not-in-family, Black, Male,50, United-States, <=50K,1600
40, Private,121772, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,40, ?, >50K,1600
34, Private,245487, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,45, Mexico, <=50K,1530
25, Self-emp-not-inc,176756, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,35, United-States, <=50K,875
32, Private,186824, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Male,40, United-States, <=50K,1280
38, Private,28887, 11th,7, Married-civ-spouse, Sales, Husband, White, Male,50, United-States, <=50K,1900
43, Self-emp-not-inc,292175, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,45, United-States, >50K,1935
40, Private,193524, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,60, United-States, >50K,2400
54, Private,302146, HS-grad,9, Separated, Other-service, Unmarried, Black, Female,20, United-States, <=50K,1080
35, Federal-gov,76845, 9th,5, Married-civ-spouse, Farming-fishing, Husband, Black, Male,40, United-States, <=50K,1400
43, Private,117037, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States, <=50K,1720
59, Private,109015, HS-grad,9, Divorced, Tech-support, Unmarried, White, Female,40, United-States, <=50K,2360
56, Local-gov,216851, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,40, United-States, >50K,2240
19, Private,168294, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,40, United-States, <=50K,760
54, ?,180211, Some-college,10, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,60, South, >50K,3240
39, Private,367260, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,80, United-States, <=50K,3120
49, Private,193366, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K,1960
23, Local-gov,190709, Assoc-acdm,12, Never-married, Protective-serv, Not-in-family, White, Male,52, United-States, <=50K,1196
20, Private,266015, Some-college,10, Never-married, Sales, Own-child, Black, Male,44, United-States, <=50K,880
45, Private,386940, Bachelors,13, Divorced, Exec-managerial, Own-child, White, Male,40, United-States, <=50K,1800
30, Federal-gov,59951, Some-college,10, Married-civ-spouse, Adm-clerical, Own-child, White, Male,40, United-States, <=50K,1200
22, State-gov,311512, Some-college,10, Married-civ-spouse, Other-service, Husband, Black, Male,15, United-States, <=50K,330
48, Private,242406, 11th,7, Never-married, Machine-op-inspct, Unmarried, White, Male,40, Puerto-Rico, <=50K,1920
21, Private,197200, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male,40, United-States, <=50K,840
19, Private,544091, HS-grad,9, Married-AF-spouse, Adm-clerical, Wife, White, Female,25, United-States, <=50K,475
31, Private,84154, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,38, ?, >50K,1178
